Ano,ESP,Vagas,Inscritos,Aprovados,Media,Max,Min,Desvio Padrao
2020,MTL,1,15,5,8.00334,8.3167,7.9,0.17782935078327233
2022,MTL,1,16,5,8.69558,9.1111,8.2889,0.3155891427156519
