ESP,GIT,CE,RED,MF
TEL,7.3333,8.6667,8.8,8.3667
TEL,7.0,7.3333,9.4,7.7667
TEL,6.6667,7.3333,9.6,7.7333
TEL,6.0,8.0,8.6,7.65
TEL,8.3333,6.3333,9.2,7.55
TEL,8.0,6.3333,9.4,7.5167
TEL,7.6667,7.0,8.4,7.5167
TEL,8.3333,6.3333,9.0,7.5
TEL,8.3333,6.0,9.6,7.4833
TEL,6.6667,7.0,9.2,7.4667
TEL,7.0,6.6667,8.8,7.2834
TEL,8.3333,6.0,8.8,7.2833
TEL,6.6667,7.3333,7.4,7.1833
TEL,6.3333,7.0,7.8,7.0333
TEL,6.6667,6.3333,8.8,7.0333
TEL,7.3333,6.6667,7.4,7.0167
TEL,6.6667,6.6667,7.9,6.975
TEL,5.3333,7.0,8.4,6.9333
TEL,7.6667,6.3333,7.3,6.9083
TEL,5.0,7.0,8.2,6.8
TEL,8.6667,5.3333,7.3,6.6583
TEL,7.0,6.6667,5.9,6.5584
TEL,7.3333,5.6667,6.9,6.3917
QUI,8.3333,8.6667,9.5,8.7917
QUI,9.3333,7.0,9.2,8.1333
QUI,7.6667,8.0,8.7,8.0917
QUI,7.6667,7.6667,9.0,8.0
QUI,8.0,7.3333,8.9,7.8917
QUI,9.0,6.3333,9.6,7.8167
QUI,7.6667,7.3333,8.8,7.7833
QUI,7.6667,7.3333,8.8,7.7833
QUI,7.3333,7.3333,8.9,7.725
QUI,7.6667,7.3333,8.4,7.6833
QUI,9.0,6.3333,8.9,7.6417
QUI,8.3333,6.6667,8.5,7.5417
QUI,8.0,6.6667,8.6,7.4834
QUI,5.3333,8.0,8.4,7.4333
QUI,6.6667,7.6667,7.6,7.4
MTL,7.6667,8.0,9.6,8.3167
MTL,7.6667,7.6667,8.9,7.975
MTL,8.3333,7.3333,8.7,7.925
MTL,8.3333,7.3333,8.6,7.9
MTL,9.0,7.0,8.6,7.9
MTL,8.0,8.0,7.5,7.875
MTL,8.0,7.3333,8.5,7.7917
MTL,6.6667,7.6667,8.6,7.65
MTL,8.0,6.6667,9.2,7.6334
MTL,6.3333,7.6667,8.8,7.6167
MTL,7.0,8.0,7.2,7.55
MTL,6.6667,7.6667,8.1,7.525
MTL,6.0,7.6667,8.6,7.4834
MTL,8.3333,7.0,7.3,7.4083
MTL,7.3333,7.0,7.8,7.2833
MEC,7.3333,9.3333,9.0,8.75
MEC,8.0,9.0,8.8,8.7
MEC,7.6667,9.0,9.0,8.6667
MEC,8.0,8.3333,9.6,8.5667
MEC,8.0,8.3333,9.6,8.5667
MEC,7.6667,8.6667,9.1,8.525
MEC,6.0,9.3333,9.4,8.5167
MEC,7.3333,8.6667,9.4,8.5167
MEC,8.0,8.6667,8.6,8.4834
MEC,7.6667,8.6667,8.9,8.475
MEC,7.3333,8.6667,9.2,8.4667
MEC,8.3333,8.3333,8.6,8.4
MEC,8.0,8.3333,8.9,8.3917
MEC,7.6667,8.3333,9.1,8.3583
MEC,9.6667,7.6667,8.4,8.35
MEC,8.3333,8.0,9.0,8.3333
MEC,7.0,8.3333,9.4,8.2667
MEC,8.6667,8.6667,6.7,8.175
MEC,7.0,8.3333,8.2,7.9667
MEC,8.0,8.0,7.8,7.95
MEC,8.3333,8.3333,6.0,7.75
MEC,6.6667,9.0,5.9,7.6417
ELT,7.0,9.3333,9.6,8.8167
ELT,8.0,8.6667,9.4,8.6833
ELT,7.3333,9.0,9.4,8.6833
ELT,8.0,9.3333,8.0,8.6667
ELT,7.3333,9.0,9.1,8.6083
ELT,7.0,9.0,9.2,8.55
ELT,8.0,8.6667,8.6,8.4834
ELT,8.0,8.0,9.6,8.4
ELT,7.3333,8.3333,9.4,8.35
ELT,7.0,8.6667,9.0,8.3334
ELT,7.6667,8.3333,9.0,8.3333
ELT,8.0,8.0,9.1,8.275
ELT,7.6667,8.0,9.4,8.2667
ELT,8.6667,8.0,8.4,8.2667
ELT,8.6667,8.0,8.2,8.2167
ELT,7.6667,8.0,9.2,8.2167
ELT,8.0,8.0,8.7,8.175
ELT,8.3333,7.6667,8.6,8.0667
ELT,7.0,8.6667,7.8,8.0334
ELT,8.0,8.6667,6.4,7.9334
ELT,8.0,8.3333,6.6,7.8167
ELN,8.3333,8.3333,8.8,8.45
ELN,7.3333,8.3333,9.2,8.3
ELN,8.3333,8.0,8.8,8.2833
ELN,7.6667,7.3333,9.8,8.0333
ELN,7.3333,8.0,8.6,7.9833
ELN,7.3333,8.0,8.1,7.8583
ELN,6.3333,8.3333,8.4,7.85
ELN,7.3333,8.0,8.0,7.8333
ELN,7.0,8.0,8.0,7.75
ELN,6.6667,8.3333,7.6,7.7333
ELN,7.3333,7.0,9.4,7.6833
ELN,6.0,8.3333,7.6,7.5667
ELN,7.6667,7.0,8.4,7.5167
ELN,6.6667,7.3333,8.4,7.4333
ELN,6.6667,7.3333,7.6,7.2333
ELN,6.3333,7.3333,7.8,7.2
ELN,7.3333,7.0,7.2,7.1333
ELN,7.0,6.6667,8.1,7.1084
ELN,6.0,6.6667,8.9,7.0584
ELN,5.3333,8.3333,6.0,7.0
ELN,6.6667,5.6667,9.4,6.85
ELN,6.6667,6.6667,7.4,6.85
ELN,6.3333,5.6667,9.0,6.6667
ELN,5.0,6.6667,7.4,6.4334
ELN,6.6667,5.6667,6.6,6.15
CMP,8.6667,8.0,9.2,8.4667
CMP,7.3333,8.3333,9.2,8.3
CMP,7.0,8.3333,9.1,8.1917
CMP,7.6667,7.6667,9.4,8.1
CMP,8.6667,7.0,9.4,8.0167
CMP,7.3333,7.6667,9.4,8.0167
CMP,9.0,6.6667,9.4,7.9334
CMP,8.6667,8.0,7.0,7.9167
CMP,6.6667,8.0,9.0,7.9167
CMP,8.6667,6.6667,9.4,7.85
CMP,6.3333,7.6667,9.6,7.8167
CMP,7.0,7.3333,9.6,7.8167
CMP,7.6667,7.6667,8.2,7.8
CMP,7.0,7.3333,9.4,7.7667
CMP,7.3333,7.3333,8.4,7.6
CMP,7.0,7.3333,8.6,7.5667
CMP,7.3333,7.3333,7.7,7.425
CMP,7.6667,6.6667,8.6,7.4
CMP,6.3333,7.3333,8.4,7.35
CMP,6.6667,6.6667,9.2,7.3
CMP,7.6667,7.3333,6.3,7.1583
CMP,6.6667,6.3333,9.2,7.1333
CMP,6.0,6.6667,8.6,6.9834
CIV,6.0,9.0,9.4,8.35
CIV,8.6667,7.3333,9.4,8.1833
CIV,8.6667,7.0,9.8,8.1167
CIV,8.0,8.0,8.4,8.1
CIV,8.3333,7.3333,9.4,8.1
CIV,7.3333,8.0,8.9,8.0583
CIV,9.0,7.0,9.2,8.05
CIV,9.6667,7.0,8.2,7.9667
CIV,8.0,7.3333,8.6,7.8167
CIV,6.6667,8.0,8.6,7.8167
CIV,7.3333,7.6667,8.6,7.8167
CIV,8.0,7.0,8.8,7.7
CIV,8.0,7.0,8.8,7.7
CIV,7.3333,7.3333,8.8,7.7
CIV,7.6667,7.3333,8.4,7.6833
CIV,6.0,8.3333,8.0,7.6667
CIV,9.3333,7.0,6.8,7.5333
CIV,7.6667,7.0,8.1,7.4417
CIV,7.0,7.0,8.1,7.275
CIV,6.3333,7.0,7.9,7.0583
CIV,7.3333,7.3333,6.2,7.05
CIV,7.6667,7.3333,5.4,6.9333
