ESP,GIT,CE,RED,MF
MEC,9.0,8.3333,9.0,8.6667
MEC,9.0,8.3333,9.0,8.6667
MEC,8.0,9.0,7.6,8.4333
MEC,8.6667,8.0,9.1,8.4056
MEC,9.3333,7.3333,8.2,8.1444
ELT,9.0,7.6667,8.8,8.3
ELT,8.0,8.0,9.6,8.2667
ELT,8.3333,8.0,8.7,8.2278
ELT,8.6667,7.6667,8.8,8.1889
ELT,8.0,8.3333,8.0,8.1667
ELT,7.0,8.6667,9.0,8.1667
ELT,8.3333,7.6667,8.8,8.0778
ELT,9.0,7.0,8.8,7.9667
ELT,7.3333,8.3333,7.1,7.7944
ELT,8.6667,7.3333,7.1,7.7389
CMP,7.0,6.0,8.0,6.6667
CMP,7.0,6.0,7.2,6.5333
CMP,6.6667,5.6667,8.8,6.5223
CMP,7.0,5.0,8.3,6.2167
CMP,6.0,6.0,6.4,6.0667
CIV,9.0,7.0,10.0,8.1667
CIV,9.3333,7.0,8.0,7.9444
CIV,9.0,6.6667,9.2,7.8667
CIV,9.3333,6.3333,9.2,7.8111
CIV,8.3333,7.0,9.0,7.7778
CIV,9.3333,6.6667,7.8,7.7445
CIV,8.6667,6.6667,9.1,7.7389
CIV,7.6667,7.3333,8.4,7.6222
CIV,8.0,7.0,8.2,7.5333
CIV,7.6667,7.3333,6.6,7.3222
