Ano,ESP,Vagas,Inscritos,Aprovados,Media,Max,Min,Desvio Padrao
2020,TEL,3,23,15,7.491113333333333,8.3667,7.0333,0.3308299905792501
2022,TEL,1,15,5,7.88002,8.3889,7.2667,0.5038784893205898
2023,TEL,1,8,5,7.48336,8.0334,7.1389,0.3748724489743146
