Ano,ESP,Vagas,Inscritos,Aprovados,Media,Max,Min,Desvio Padrao
2020,ELT,3,21,15,8.462233333333334,8.8167,8.2167,0.19201586863987008
2021,ELT,3,10,10,8.089459999999999,8.3,7.7389,0.19489544319397978
2022,ELT,3,24,15,9.080753333333332,9.4111,8.8333,0.20038845442456663
2023,ELT,5,40,25,7.424892000000001,8.8667,6.8667,0.5271640232729594
