Ano,ESP,Vagas,Inscritos,Aprovados,Media,Max,Min,Desvio Padrao
2020.0,MEC,3.0,22.0,15.0,8.515573333333334,8.75,8.35,0.1204304035334853
2021.0,MEC,4.0,5.0,5.0,8.463339999999999,8.6667,8.1444,0.2171805769400207
2022.0,MEC,3.0,24.0,15.0,9.6041,9.7778,9.4334,0.1168403734038145
2023.0,MEC,4.0,32.0,20.0,9.07751,9.5,8.7722,0.2051442468118471
2024.0,,,,,9.621773333333408,10.013900000000035,9.313900000000046,
