Ano,ESP,Vagas,Inscritos,Aprovados,Media,Max,Min,Desvio Padrao
2020,CMP,3,23,15,7.967246666666666,8.4667,7.6,0.22384048167857237
2021,CMP,4,5,5,6.40114,6.6667,6.0667,0.24926710172022287
2022,CMP,4,32,20,8.139734999999998,8.8223,7.7111,0.3262976914527108
2023,CMP,6,48,30,7.380189999999999,8.8111,6.7111,0.566936902376148
