Ano,ESP,Vagas,Inscritos,Aprovados,Media,Max,Min,Desvio Padrao
2020,CIV,3,22,15,7.9438933333333335,8.35,7.6833,0.21054381107254683
2021,CIV,4,10,10,7.75278,8.1667,7.3222,0.2299603675998687
2022,CIV,3,24,15,9.180013333333333,9.5556,8.9111,0.16798756700025952
2023,CIV,8,64,40,8.561115,9.6056,8.1778,0.3255818338581894
